Balancing Authority,Data Date,Hour Number,Local Time at End of Hour,UTC Time at End of Hour,Demand Forecast (MW),Demand (MW),Net Generation (MW),Total Interchange (MW),Sum(Valid DIBAs) (MW),Demand (MW) (Imputed),Net Generation (MW) (Imputed),Total Interchange (MW) (Imputed),Demand (MW) (Adjusted),Net Generation (MW) (Adjusted),Total Interchange (MW) (Adjusted),Net Generation (MW) from Coal,Net Generation (MW) from Natural Gas,Net Generation (MW) from Nuclear,Net Generation (MW) from All Petroleum Products,Net Generation (MW) from Hydropower Excluding Pumped Storage,Net Generation (MW) from Pumped Storage,Net Generation (MW) from Solar without Integrated Battery Storage,Net Generation (MW) from Solar with Integrated Battery Storage,Net Generation (MW) from Wind without Integrated Battery Storage,Net Generation (MW) from Wind with Integrated Battery Storage,Net Generation (MW) from Battery Storage,Net Generation (MW) from Other Energy Storage,Net Generation (MW) from Unknown Energy Storage,Net Generation (MW) from Geothermal,Net Generation (MW) from Other Fuel Sources,Net Generation (MW) from Unknown Fuel Sources,Net Generation (MW) from Coal (Imputed),Net Generation (MW) from Natural Gas (Imputed),Net Generation (MW) from Nuclear (Imputed),Net Generation (MW) from All Petroleum Products (Imputed),Net Generation (MW) from Hydropower Excluding Pumped Storage (Imputed),Net Generation (MW) from Pumped Storage (Imputed),Net Generation (MW) from Solar without Integrated Battery Storage (Imputed),Net Generation (MW) from Solar with Integrated Battery Storage (Imputed),Net Generation (MW) from Wind without Integrated Battery Storage (Imputed),Net Generation (MW) from Wind with Integrated Battery Storage (Imputed),Net Generation (MW) from Battery Storage (Imputed),Net Generation (MW) from Other Energy Storage (Imputed),Net Generation (MW) from Unknown Energy Storage (Imputed),Net Generation (MW) from Geothermal (Imputed),Net Generation (MW) from Other Fuel Sources (Imputed),Net Generation (MW) from Coal (Adjusted),Net Generation (MW) from Natural Gas (Adjusted),Net Generation (MW) from Nuclear (Adjusted),Net Generation (MW) from All Petroleum Products (Adjusted),Net Generation (MW) from Hydropower Excluding Pumped Storage (Adjusted),Net Generation (MW) from Pumped Storage  (Adjusted),Net Generation (MW) from Solar without Integrated Battery Storage (Adjusted),Net Generation (MW) from Solar witho Integrated Battery Storage (Adjusted),Net Generation (MW) from Wind without Integrated Battery Storage (Adjusted),Net Generation (MW) from Wind with Integrated Battery Storage (Adjusted),Net Generation (MW) from Battery Storage (Adjusted),Net Generation (MW) from Other Energy Storage (Adjusted),Net Generation (MW) from Unknown Energy Storage (Adjusted),Net Generation (MW) from Geothermal (Adjusted),Net Generation (MW) from Other Fuel Sources (Adjusted),Region
AECI,8/9/2024,16,8/9/2024 16:00,8/9/2024 21:00,2790,3026,3486,460,460,,,,3026,3486,460,1951,1348,,,,,,,187,,,,,,,,,,,,,,,,,,,,,,,1951,1348,,,,,,,187,,,,,,,MIDW
AECI,8/9/2024,17,8/9/2024 17:00,8/9/2024 22:00,2865,3117,3479,362,362,,,,3117,3479,362,1956,1345,,,,,,,178,,,,,,,,,,,,,,,,,,,,,,,1956,1345,,,,,,,178,,,,,,,MIDW
AECI,8/9/2024,18,8/9/2024 18:00,8/9/2024 23:00,2895,3106,3386,280,280,,,,3106,3386,280,1830,1340,,,,,,,216,,,,,,,,,,,,,,,,,,,,,,,1830,1340,,,,,,,216,,,,,,,MIDW
AECI,8/9/2024,19,8/9/2024 19:00,8/10/2024 0:00,2847,2973,3329,356,356,,,,2973,3329,356,1761,1352,,,,,,,216,,,,,,,,,,,,,,,,,,,,,,,1761,1352,,,,,,,216,,,,,,,MIDW
AECI,8/9/2024,20,8/9/2024 20:00,8/10/2024 1:00,2698,2723,3234,511,511,,,,2723,3234,511,1791,1277,,,,,,,166,,,,,,,,,,,,,,,,,,,,,,,1791,1277,,,,,,,166,,,,,,,MIDW
AECI,8/9/2024,21,8/9/2024 21:00,8/10/2024 2:00,2548,2570,3263,693,693,,,,2570,3263,693,1954,1178,,,,,,,131,,,,,,,,,,,,,,,,,,,,,,,1954,1178,,,,,,,131,,,,,,,MIDW
AECI,8/9/2024,22,8/9/2024 22:00,8/10/2024 3:00,2425,2459,3186,727,727,,,,2459,3186,727,1869,1149,,,,,,,168,,,,,,,,,,,,,,,,,,,,,,,1869,1149,,,,,,,168,,,,,,,MIDW
AECI,8/9/2024,23,8/9/2024 23:00,8/10/2024 4:00,2214,2258,2914,656,656,,,,2258,2914,656,1753,1000,,,,,,,161,,,,,,,,,,,,,,,,,,,,,,,1753,1000,,,,,,,161,,,,,,,MIDW
AECI,8/9/2024,24,8/10/2024 0:00,8/10/2024 5:00,2008,2020,2625,605,605,,,,2020,2625,605,1581,939,,,,,,,104,,,,,,,,,,,,,,,,,,,,,,,1581,939,,,,,,,104,,,,,,,MIDW
AECI,8/10/2024,1,8/10/2024 1:00,8/10/2024 6:00,1800,1835,2176,341,341,,,,1835,2176,341,1214,849,,,,,,,113,,,,,,,,,,,,,,,,,,,,,,,1214,849,,,,,,,113,,,,,,,MIDW
AECI,8/10/2024,2,8/10/2024 2:00,8/10/2024 7:00,1684,1697,1986,289,289,,,,1697,1986,289,1148,745,,,,,,,93,,,,,,,,,,,,,,,,,,,,,,,1148,745,,,,,,,93,,,,,,,MIDW
AECI,8/10/2024,3,8/10/2024 3:00,8/10/2024 8:00,1607,1618,1853,235,235,,,,1618,1853,235,1006,800,,,,,,,47,,,,,,,,,,,,,,,,,,,,,,,1006,800,,,,,,,47,,,,,,,MIDW
AECI,8/10/2024,4,8/10/2024 4:00,8/10/2024 9:00,1559,1556,1664,108,108,,,,1556,1664,108,961,672,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,961,672,,,,,,,31,,,,,,,MIDW
AECI,8/10/2024,5,8/10/2024 5:00,8/10/2024 10:00,1550,1531,1633,102,102,,,,1531,1633,102,890,728,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,890,728,,,,,,,15,,,,,,,MIDW
AECI,8/10/2024,6,8/10/2024 6:00,8/10/2024 11:00,1579,1536,1651,115,115,,,,1536,1651,115,862,752,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,862,752,,,,,,,37,,,,,,,MIDW
AECI,8/10/2024,7,8/10/2024 7:00,8/10/2024 12:00,1624,1607,1845,238,238,,,,1607,1845,238,979,834,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,979,834,,,,,,,32,,,,,,,MIDW
AECI,8/10/2024,8,8/10/2024 8:00,8/10/2024 13:00,1757,1689,1973,284,284,,,,1689,1973,284,1148,783,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,1148,783,,,,,,,42,,,,,,,MIDW
AECI,8/10/2024,9,8/10/2024 9:00,8/10/2024 14:00,1920,1845,2066,221,221,,,,1845,2066,221,1188,848,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,1188,848,,,,,,,30,,,,,,,MIDW
AECI,8/10/2024,10,8/10/2024 10:00,8/10/2024 15:00,2027,2006,2142,136,136,,,,2006,2142,136,1258,874,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,1258,874,,,,,,,10,,,,,,,MIDW
AECI,8/10/2024,11,8/10/2024 11:00,8/10/2024 16:00,2129,2127,2149,22,22,,,,2127,2149,22,1405,736,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,1405,736,,,,,,,8,,,,,,,MIDW
AECI,8/10/2024,12,8/10/2024 12:00,8/10/2024 17:00,2214,2271,2410,139,139,,,,2271,2410,139,1507,897,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,1507,897,,,,,,,6,,,,,,,MIDW
AECI,8/10/2024,13,8/10/2024 13:00,8/10/2024 18:00,2288,2374,2580,206,206,,,,2374,2580,206,1627,948,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,1627,948,,,,,,,5,,,,,,,MIDW
AECI,8/10/2024,14,8/10/2024 14:00,8/10/2024 19:00,2369,2482,2730,248,248,,,,2482,2730,248,1771,946,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,1771,946,,,,,,,13,,,,,,,MIDW
AECI,8/10/2024,15,8/10/2024 15:00,8/10/2024 20:00,2456,2570,2921,351,351,,,,2570,2921,351,1936,970,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,1936,970,,,,,,,15,,,,,,,MIDW
AECI,8/10/2024,16,8/10/2024 16:00,8/10/2024 21:00,2537,2661,2990,329,329,,,,2661,2990,329,1943,1039,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,1943,1039,,,,,,,8,,,,,,,MIDW
AECI,8/10/2024,17,8/10/2024 17:00,8/10/2024 22:00,2659,2670,2983,313,313,,,,2670,2983,313,1943,1036,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,1943,1036,,,,,,,4,,,,,,,MIDW
AECI,8/10/2024,18,8/10/2024 18:00,8/10/2024 23:00,2694,2673,2980,307,307,,,,2673,2980,307,1935,1034,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,1935,1034,,,,,,,11,,,,,,,MIDW
AECI,8/10/2024,19,8/10/2024 19:00,8/11/2024 0:00,2683,2566,2896,330,330,,,,2566,2896,330,1854,1033,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,1854,1033,,,,,,,9,,,,,,,MIDW
AECI,8/10/2024,20,8/10/2024 20:00,8/11/2024 1:00,2584,2455,2840,385,385,,,,2455,2840,385,1867,958,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,1867,958,,,,,,,15,,,,,,,MIDW
AECI,8/10/2024,21,8/10/2024 21:00,8/11/2024 2:00,2453,2392,2866,474,474,,,,2392,2866,474,1887,946,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,1887,946,,,,,,,33,,,,,,,MIDW
AECI,8/10/2024,22,8/10/2024 22:00,8/11/2024 3:00,2354,2299,2777,478,478,,,,2299,2777,478,1802,945,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,1802,945,,,,,,,30,,,,,,,MIDW
AECI,8/10/2024,23,8/10/2024 23:00,8/11/2024 4:00,2146,2140,2475,335,335,,,,2140,2475,335,1533,902,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,1533,902,,,,,,,40,,,,,,,MIDW
AECI,8/10/2024,24,8/11/2024 0:00,8/11/2024 5:00,1934,1942,2258,316,316,,,,1942,2258,316,1364,837,,,,,,,57,,,,,,,,,,,,,,,,,,,,,,,1364,837,,,,,,,57,,,,,,,MIDW
AECI,8/11/2024,1,8/11/2024 1:00,8/11/2024 6:00,1752,1791,2070,279,279,,,,1791,2070,279,1179,804,,,,,,,87,,,,,,,,,,,,,,,,,,,,,,,1179,804,,,,,,,87,,,,,,,MIDW
AECI,8/11/2024,2,8/11/2024 2:00,8/11/2024 7:00,1636,1664,1776,112,112,,,,1664,1776,112,942,708,,,,,,,126,,,,,,,,,,,,,,,,,,,,,,,942,708,,,,,,,126,,,,,,,MIDW
AECI,8/11/2024,3,8/11/2024 3:00,8/11/2024 8:00,1576,1603,1689,86,86,,,,1603,1689,86,766,844,,,,,,,79,,,,,,,,,,,,,,,,,,,,,,,766,844,,,,,,,79,,,,,,,MIDW
AECI,8/11/2024,4,8/11/2024 4:00,8/11/2024 9:00,1535,1565,1648,83,83,,,,1565,1648,83,764,837,,,,,,,47,,,,,,,,,,,,,,,,,,,,,,,764,837,,,,,,,47,,,,,,,MIDW
AECI,8/11/2024,5,8/11/2024 5:00,8/11/2024 10:00,1525,1544,1637,93,93,,,,1544,1637,93,765,829,,,,,,,43,,,,,,,,,,,,,,,,,,,,,,,765,829,,,,,,,43,,,,,,,MIDW
AECI,8/11/2024,6,8/11/2024 6:00,8/11/2024 11:00,1549,1572,1642,70,70,,,,1572,1642,70,789,820,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,789,820,,,,,,,33,,,,,,,MIDW
AECI,8/11/2024,7,8/11/2024 7:00,8/11/2024 12:00,1578,1608,1821,213,213,,,,1608,1821,213,991,812,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,991,812,,,,,,,18,,,,,,,MIDW
AECI,8/11/2024,8,8/11/2024 8:00,8/11/2024 13:00,1724,1714,1834,120,120,,,,1714,1834,120,1054,771,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,1054,771,,,,,,,9,,,,,,,MIDW
AECI,8/11/2024,9,8/11/2024 9:00,8/11/2024 14:00,1935,1898,1910,12,12,,,,1898,1910,12,1134,765,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,1134,765,,,,,,,11,,,,,,,MIDW
AECI,8/11/2024,10,8/11/2024 10:00,8/11/2024 15:00,2089,2042,1962,-80,-80,,,,2042,1962,-80,1249,699,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,1249,699,,,,,,,14,,,,,,,MIDW
AECI,8/11/2024,11,8/11/2024 11:00,8/11/2024 16:00,2223,2159,2151,-8,-8,,,,2159,2151,-8,1252,847,,,,,,,52,,,,,,,,,,,,,,,,,,,,,,,1252,847,,,,,,,52,,,,,,,MIDW
AECI,8/11/2024,12,8/11/2024 12:00,8/11/2024 17:00,2333,2291,2196,-95,-95,,,,2291,2196,-95,1289,813,,,,,,,94,,,,,,,,,,,,,,,,,,,,,,,1289,813,,,,,,,94,,,,,,,MIDW
AECI,8/11/2024,13,8/11/2024 13:00,8/11/2024 18:00,2457,2435,2325,-110,-110,,,,2435,2325,-110,1391,805,,,,,,,129,,,,,,,,,,,,,,,,,,,,,,,1391,805,,,,,,,129,,,,,,,MIDW
AECI,8/11/2024,14,8/11/2024 14:00,8/11/2024 19:00,2569,2512,2446,-66,-66,,,,2512,2446,-66,1385,883,,,,,,,178,,,,,,,,,,,,,,,,,,,,,,,1385,883,,,,,,,178,,,,,,,MIDW
AECI,8/11/2024,15,8/11/2024 15:00,8/11/2024 20:00,2670,2601,2527,-74,-74,,,,2601,2527,-74,1452,916,,,,,,,159,,,,,,,,,,,,,,,,,,,,,,,1452,916,,,,,,,159,,,,,,,MIDW
AECI,8/11/2024,16,8/11/2024 16:00,8/11/2024 21:00,2771,2694,2813,119,119,,,,2694,2813,119,1709,1020,,,,,,,83,,,,,,,,,,,,,,,,,,,,,,,1709,1020,,,,,,,83,,,,,,,MIDW
AECI,8/11/2024,17,8/11/2024 17:00,8/11/2024 22:00,2861,2790,3119,329,329,,,,2790,3119,329,1875,1124,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,1875,1124,,,,,,,120,,,,,,,MIDW
AECI,8/11/2024,18,8/11/2024 18:00,8/11/2024 23:00,2931,2858,3222,364,364,,,,2858,3222,364,2003,1127,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,2003,1127,,,,,,,92,,,,,,,MIDW
AECI,8/11/2024,19,8/11/2024 19:00,8/12/2024 0:00,2909,2809,3131,322,322,,,,2809,3131,322,1944,1099,,,,,,,88,,,,,,,,,,,,,,,,,,,,,,,1944,1099,,,,,,,88,,,,,,,MIDW
AECI,8/11/2024,20,8/11/2024 20:00,8/12/2024 1:00,2791,2692,2941,249,249,,,,2692,2941,249,1695,1104,,,,,,,142,,,,,,,,,,,,,,,,,,,,,,,1695,1104,,,,,,,142,,,,,,,MIDW
AECI,8/11/2024,21,8/11/2024 21:00,8/12/2024 2:00,2645,2642,2857,215,215,,,,2642,2857,215,1743,937,,,,,,,177,,,,,,,,,,,,,,,,,,,,,,,1743,937,,,,,,,177,,,,,,,MIDW
AECI,8/11/2024,22,8/11/2024 22:00,8/12/2024 3:00,2525,2503,2762,259,259,,,,2503,2762,259,1605,925,,,,,,,232,,,,,,,,,,,,,,,,,,,,,,,1605,925,,,,,,,232,,,,,,,MIDW
AECI,8/11/2024,23,8/11/2024 23:00,8/12/2024 4:00,2316,2288,2433,145,145,,,,2288,2433,145,1374,793,,,,,,,266,,,,,,,,,,,,,,,,,,,,,,,1374,793,,,,,,,266,,,,,,,MIDW
AECI,8/11/2024,24,8/12/2024 0:00,8/12/2024 5:00,2072,2050,2315,265,265,,,,2050,2315,265,1179,836,,,,,,,300,,,,,,,,,,,,,,,,,,,,,,,1179,836,,,,,,,300,,,,,,,MIDW
AECI,8/12/2024,1,8/12/2024 1:00,8/12/2024 6:00,1924,1898,2251,353,353,,,,1898,2251,353,1174,818,,,,,,,259,,,,,,,,,,,,,,,,,,,,,,,1174,818,,,,,,,259,,,,,,,MIDW
AECI,8/12/2024,2,8/12/2024 2:00,8/12/2024 7:00,1794,1793,2140,347,347,,,,1793,2140,347,1109,773,,,,,,,258,,,,,,,,,,,,,,,,,,,,,,,1109,773,,,,,,,258,,,,,,,MIDW
AECI,8/12/2024,3,8/12/2024 3:00,8/12/2024 8:00,1733,1721,1984,263,263,,,,1721,1984,263,962,821,,,,,,,201,,,,,,,,,,,,,,,,,,,,,,,962,821,,,,,,,201,,,,,,,MIDW
AECI,8/12/2024,4,8/12/2024 4:00,8/12/2024 9:00,1695,1716,1967,251,251,,,,1716,1967,251,990,854,,,,,,,123,,,,,,,,,,,,,,,,,,,,,,,990,854,,,,,,,123,,,,,,,MIDW
AECI,8/12/2024,5,8/12/2024 5:00,8/12/2024 10:00,1704,1714,2050,336,336,,,,1714,2050,336,1173,781,,,,,,,96,,,,,,,,,,,,,,,,,,,,,,,1173,781,,,,,,,96,,,,,,,MIDW
AECI,8/12/2024,6,8/12/2024 6:00,8/12/2024 11:00,1766,1819,2279,460,460,,,,1819,2279,460,1341,825,,,,,,,113,,,,,,,,,,,,,,,,,,,,,,,1341,825,,,,,,,113,,,,,,,MIDW
AECI,8/12/2024,7,8/12/2024 7:00,8/12/2024 12:00,1893,1955,2349,394,394,,,,1955,2349,394,1359,716,,,,,,,274,,,,,,,,,,,,,,,,,,,,,,,1359,716,,,,,,,274,,,,,,,MIDW
AECI,8/12/2024,8,8/12/2024 8:00,8/12/2024 13:00,2007,2073,2546,473,473,,,,2073,2546,473,1370,913,,,,,,,263,,,,,,,,,,,,,,,,,,,,,,,1370,913,,,,,,,263,,,,,,,MIDW
AECI,8/12/2024,9,8/12/2024 9:00,8/12/2024 14:00,2109,2153,2614,461,461,,,,2153,2614,461,1444,927,,,,,,,243,,,,,,,,,,,,,,,,,,,,,,,1444,927,,,,,,,243,,,,,,,MIDW
AECI,8/12/2024,10,8/12/2024 10:00,8/12/2024 15:00,2242,2232,2865,633,633,,,,2232,2865,633,1692,993,,,,,,,180,,,,,,,,,,,,,,,,,,,,,,,1692,993,,,,,,,180,,,,,,,MIDW
AECI,8/12/2024,11,8/12/2024 11:00,8/12/2024 16:00,2376,2327,3014,687,687,,,,2327,3014,687,1794,1076,,,,,,,144,,,,,,,,,,,,,,,,,,,,,,,1794,1076,,,,,,,144,,,,,,,MIDW
AECI,8/12/2024,12,8/12/2024 12:00,8/12/2024 17:00,2522,2409,3131,722,722,,,,2409,3131,722,1807,1235,,,,,,,89,,,,,,,,,,,,,,,,,,,,,,,1807,1235,,,,,,,89,,,,,,,MIDW
AECI,8/12/2024,13,8/12/2024 13:00,8/12/2024 18:00,2639,2531,3329,798,798,,,,2531,3329,798,1859,1413,,,,,,,57,,,,,,,,,,,,,,,,,,,,,,,1859,1413,,,,,,,57,,,,,,,MIDW
AECI,8/12/2024,14,8/12/2024 14:00,8/12/2024 19:00,2748,2686,3450,764,764,,,,2686,3450,764,1917,1481,,,,,,,52,,,,,,,,,,,,,,,,,,,,,,,1917,1481,,,,,,,52,,,,,,,MIDW
AECI,8/12/2024,15,8/12/2024 15:00,8/12/2024 20:00,2866,2819,3489,670,670,,,,2819,3489,670,1927,1542,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,1927,1542,,,,,,,20,,,,,,,MIDW
AECI,8/12/2024,16,8/12/2024 16:00,8/12/2024 21:00,2972,2923,3504,581,581,,,,2923,3504,581,1944,1552,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,1944,1552,,,,,,,8,,,,,,,MIDW
AECI,8/12/2024,17,8/12/2024 17:00,8/12/2024 22:00,3082,3006,3508,502,502,,,,3006,3508,502,1944,1554,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,1944,1554,,,,,,,10,,,,,,,MIDW
AECI,8/12/2024,18,8/12/2024 18:00,8/12/2024 23:00,3183,3118,3625,507,507,,,,3118,3625,507,1965,1634,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,1965,1634,,,,,,,26,,,,,,,MIDW
AECI,8/12/2024,19,8/12/2024 19:00,8/13/2024 0:00,3169,3114,3629,515,515,,,,3114,3629,515,1973,1641,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,1973,1641,,,,,,,15,,,,,,,MIDW
AECI,8/12/2024,20,8/12/2024 20:00,8/13/2024 1:00,3039,3008,3624,616,616,,,,3008,3624,616,1963,1643,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,1963,1643,,,,,,,18,,,,,,,MIDW
AECI,8/12/2024,21,8/12/2024 21:00,8/13/2024 2:00,2912,2904,3444,540,540,,,,2904,3444,540,1936,1486,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,1936,1486,,,,,,,22,,,,,,,MIDW
AECI,8/12/2024,22,8/12/2024 22:00,8/13/2024 3:00,2761,2745,3152,407,407,,,,2745,3152,407,1781,1306,,,,,,,65,,,,,,,,,,,,,,,,,,,,,,,1781,1306,,,,,,,65,,,,,,,MIDW
AECI,8/12/2024,23,8/12/2024 23:00,8/13/2024 4:00,2494,2476,2791,315,315,,,,2476,2791,315,1587,1132,,,,,,,72,,,,,,,,,,,,,,,,,,,,,,,1587,1132,,,,,,,72,,,,,,,MIDW
AECI,8/12/2024,24,8/13/2024 0:00,8/13/2024 5:00,2236,2229,2456,227,227,,,,2229,2456,227,1330,1054,,,,,,,72,,,,,,,,,,,,,,,,,,,,,,,1330,1054,,,,,,,72,,,,,,,MIDW
AECI,8/13/2024,1,8/13/2024 1:00,8/13/2024 6:00,2044,2055,2141,86,86,,,,2055,2141,86,1102,983,,,,,,,56,,,,,,,,,,,,,,,,,,,,,,,1102,983,,,,,,,56,,,,,,,MIDW
AECI,8/13/2024,2,8/13/2024 2:00,8/13/2024 7:00,1898,1930,1966,36,36,,,,1930,1966,36,966,927,,,,,,,73,,,,,,,,,,,,,,,,,,,,,,,966,927,,,,,,,73,,,,,,,MIDW
AECI,8/13/2024,3,8/13/2024 3:00,8/13/2024 8:00,1823,1861,1881,20,20,,,,1861,1881,20,798,991,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,798,991,,,,,,,92,,,,,,,MIDW
AECI,8/13/2024,4,8/13/2024 4:00,8/13/2024 9:00,1773,1794,1866,72,72,,,,1794,1866,72,757,1033,,,,,,,76,,,,,,,,,,,,,,,,,,,,,,,757,1033,,,,,,,76,,,,,,,MIDW
AECI,8/13/2024,5,8/13/2024 5:00,8/13/2024 10:00,1786,1817,1899,82,82,,,,1817,1899,82,777,1058,,,,,,,64,,,,,,,,,,,,,,,,,,,,,,,777,1058,,,,,,,64,,,,,,,MIDW
AECI,8/13/2024,6,8/13/2024 6:00,8/13/2024 11:00,1858,1891,2067,176,176,,,,1891,2067,176,885,1124,,,,,,,58,,,,,,,,,,,,,,,,,,,,,,,885,1124,,,,,,,58,,,,,,,MIDW
AECI,8/13/2024,7,8/13/2024 7:00,8/13/2024 12:00,1974,2011,2354,343,343,,,,2011,2354,343,1237,1053,,,,,,,64,,,,,,,,,,,,,,,,,,,,,,,1237,1053,,,,,,,64,,,,,,,MIDW
AECI,8/13/2024,8,8/13/2024 8:00,8/13/2024 13:00,2088,2112,2612,500,500,,,,2112,2612,500,1427,1103,,,,,,,82,,,,,,,,,,,,,,,,,,,,,,,1427,1103,,,,,,,82,,,,,,,MIDW
AECI,8/13/2024,9,8/13/2024 9:00,8/13/2024 14:00,2194,2226,2892,666,666,,,,2226,2892,666,1576,1218,,,,,,,97,,,,,,,,,,,,,,,,,,,,,,,1576,1218,,,,,,,97,,,,,,,MIDW
AECI,8/13/2024,10,8/13/2024 10:00,8/13/2024 15:00,2334,2344,3188,844,844,,,,2344,3188,844,1721,1357,,,,,,,110,,,,,,,,,,,,,,,,,,,,,,,1721,1357,,,,,,,110,,,,,,,MIDW
AECI,8/13/2024,11,8/13/2024 11:00,8/13/2024 16:00,2507,2462,3176,714,714,,,,2462,3176,714,1605,1384,,,,,,,187,,,,,,,,,,,,,,,,,,,,,,,1605,1384,,,,,,,187,,,,,,,MIDW
AECI,8/13/2024,12,8/13/2024 12:00,8/13/2024 17:00,2658,2597,3198,601,601,,,,2597,3198,601,1601,1349,,,,,,,247,,,,,,,,,,,,,,,,,,,,,,,1601,1349,,,,,,,247,,,,,,,MIDW
AECI,8/13/2024,13,8/13/2024 13:00,8/13/2024 18:00,2783,2652,3437,785,785,,,,2652,3437,785,1868,1362,,,,,,,207,,,,,,,,,,,,,,,,,,,,,,,1868,1362,,,,,,,207,,,,,,,MIDW
AECI,8/13/2024,14,8/13/2024 14:00,8/13/2024 19:00,2906,2731,3523,792,792,,,,2731,3523,792,1869,1448,,,,,,,206,,,,,,,,,,,,,,,,,,,,,,,1869,1448,,,,,,,206,,,,,,,MIDW
AECI,8/13/2024,15,8/13/2024 15:00,8/13/2024 20:00,3005,2823,3563,740,740,,,,2823,3563,740,1942,1449,,,,,,,172,,,,,,,,,,,,,,,,,,,,,,,1942,1449,,,,,,,172,,,,,,,MIDW
AECI,8/13/2024,16,8/13/2024 16:00,8/13/2024 21:00,3113,2886,3493,607,607,,,,2886,3493,607,1886,1447,,,,,,,160,,,,,,,,,,,,,,,,,,,,,,,1886,1447,,,,,,,160,,,,,,,MIDW
AECI,8/13/2024,17,8/13/2024 17:00,8/13/2024 22:00,3212,2961,3597,636,636,,,,2961,3597,636,1935,1530,,,,,,,132,,,,,,,,,,,,,,,,,,,,,,,1935,1530,,,,,,,132,,,,,,,MIDW
AECI,8/13/2024,18,8/13/2024 18:00,8/13/2024 23:00,3297,3025,3666,641,641,,,,3025,3666,641,1957,1591,,,,,,,118,,,,,,,,,,,,,,,,,,,,,,,1957,1591,,,,,,,118,,,,,,,MIDW
AECI,8/13/2024,19,8/13/2024 19:00,8/14/2024 0:00,3287,3035,3735,700,700,,,,3035,3735,700,1968,1638,,,,,,,129,,,,,,,,,,,,,,,,,,,,,,,1968,1638,,,,,,,129,,,,,,,MIDW
AECI,8/13/2024,20,8/13/2024 20:00,8/14/2024 1:00,3147,2949,3701,752,752,,,,2949,3701,752,1930,1584,,,,,,,187,,,,,,,,,,,,,,,,,,,,,,,1930,1584,,,,,,,187,,,,,,,MIDW
AECI,8/13/2024,21,8/13/2024 21:00,8/14/2024 2:00,3027,2891,3451,560,560,,,,2891,3451,560,1901,1315,,,,,,,235,,,,,,,,,,,,,,,,,,,,,,,1901,1315,,,,,,,235,,,,,,,MIDW
AECI,8/13/2024,22,8/13/2024 22:00,8/14/2024 3:00,2886,2767,3131,364,364,,,,2767,3131,364,1826,1079,,,,,,,226,,,,,,,,,,,,,,,,,,,,,,,1826,1079,,,,,,,226,,,,,,,MIDW
AECI,8/13/2024,23,8/13/2024 23:00,8/14/2024 4:00,2622,2537,2794,257,257,,,,2537,2794,257,1645,916,,,,,,,233,,,,,,,,,,,,,,,,,,,,,,,1645,916,,,,,,,233,,,,,,,MIDW
AECI,8/13/2024,24,8/14/2024 0:00,8/14/2024 5:00,2356,2303,2423,120,120,,,,2303,2423,120,1322,891,,,,,,,210,,,,,,,,,,,,,,,,,,,,,,,1322,891,,,,,,,210,,,,,,,MIDW
AECI,8/14/2024,1,8/14/2024 1:00,8/14/2024 6:00,2191,2138,2184,46,46,,,,2138,2184,46,1129,844,,,,,,,211,,,,,,,,,,,,,,,,,,,,,,,1129,844,,,,,,,211,,,,,,,MIDW
AECI,8/14/2024,2,8/14/2024 2:00,8/14/2024 7:00,2065,1985,2007,22,22,,,,1985,2007,22,902,754,,,,,,,351,,,,,,,,,,,,,,,,,,,,,,,902,754,,,,,,,351,,,,,,,MIDW
